bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
0,79,14,104,2,16,1,107,22,22,11,36,41,70,21,29,6,12,44,66,73,69,0,11,379,51,31,56,19,19,149,123,46
0,95,40,6,57,49,85,98,13,6,24,26,15,70,24,57,36,17,11,46,22,67,48,30,411,34,34,41,108,168,127,23,31
0,70,45,21,30,19,86,180,29,46,30,27,14,107,40,10,18,45,62,25,12,53,30,156,172,20,44,44,30,122,149,52,55
0,60,80,95,30,6,144,24,31,9,10,31,5,85,31,34,30,44,54,60,81,84,72,247,301,35,54,15,115,41,103,104,10
0,8,53,99,22,56,109,31,44,8,27,48,48,30,33,60,39,88,68,58,24,84,79,76,36,53,12,55,114,183,122,33,42
0,36,12,112,52,5,107,102,15,40,21,22,58,44,16,29,39,88,10,69,68,43,3,121,322,43,51,60,2,14,6,53,7
0,58,11,30,48,20,126,119,38,18,15,23,0,66,17,39,38,53,75,57,90,30,51,334,380,26,15,0,116,66,43,2,51
0,5,85,110,4,1,0,16,51,52,2,3,22,22,24,25,34,20,32,55,38,85,65,15,27,13,27,36,117,73,34,17,60
0,51,88,60,17,20,28,11,8,7,36,22,48,92,55,14,10,64,43,56,39,17,42,64,214,53,53,40,103,141,108,173,57
0,36,45,27,34,28,169,125,45,10,5,18,11,103,47,26,17,36,41,62,67,1,58,372,186,8,53,31,81,34,75,81,3
0,87,77,40,20,49,115,4,3,17,13,4,44,54,9,48,17,65,90,5,17,20,52,415,113,0,38,39,107,79,142,126,47
0,29,51,106,46,3,141,25,55,37,16,5,7,114,50,53,38,46,15,43,23,36,73,247,387,2,54,31,104,128,74,165,58
0,70,64,107,42,58,39,99,53,7,30,17,1,29,18,2,59,11,42,14,86,37,74,68,341,53,60,21,111,111,75,46,10
0,40,90,109,57,16,79,171,9,18,27,55,58,110,19,56,6,90,24,37,46,34,5,197,125,41,59,57,94,145,139,173,58
0,1,64,88,9,14,6,3,22,4,7,35,46,110,26,58,56,17,53,34,23,43,18,171,341,43,55,25,87,61,141,52,28
0,64,82,98,9,37,42,138,53,19,1,42,56,44,29,15,1,67,67,81,34,32,26,355,331,33,16,57,30,40,139,55,57
0,48,38,15,4,58,133,200,29,16,6,0,51,61,51,51,53,5,14,62,64,66,60,366,368,6,60,5,9,148,91,131,9
0,55,49,3,55,27,142,186,23,19,14,44,3,78,50,41,27,15,46,43,62,35,26,233,90,14,17,10,8,122,29,62,30
0,68,48,47,16,13,198,117,59,3,9,8,60,3,13,49,57,30,63,24,87,27,18,163,303,39,28,16,73,57,121,181,35
0,18,74,5,45,0,172,38,4,34,27,0,36,80,58,52,23,12,53,31,66,14,45,395,250,42,38,56,25,130,13,60,24
0,90,22,119,37,51,170,25,39,59,22,3,42,97,42,1,12,12,24,68,89,40,49,279,298,50,24,44,50,42,121,49,17
0,45,29,94,17,25,195,160,7,29,15,22,19,26,41,48,41,34,84,38,73,21,25,313,86,39,1,18,84,168,109,14,28
0,70,83,91,1,19,172,126,59,12,23,0,3,102,42,14,24,21,66,66,46,55,6,63,57,21,5,53,84,126,121,198,16
0,63,53,46,18,58,28,192,7,16,40,57,44,27,45,28,51,7,53,18,89,56,30,238,242,3,0,46,83,193,53,21,58
0,62,66,23,13,29,53,101,4,18,22,6,52,107,57,4,50,75,19,13,3,35,34,354,195,49,29,57,40,80,20,52,48
0,91,65,52,24,26,170,38,56,46,45,54,50,63,21,53,45,69,47,89,6,21,25,377,303,33,18,20,102,194,127,46,40
0,97,11,87,57,13,92,199,6,50,35,1,55,14,20,55,43,66,45,41,33,32,63,268,293,35,24,11,23,72,32,100,10
0,46,45,30,17,37,21,75,25,49,12,15,30,79,39,16,35,75,61,38,45,5,62,270,305,58,3,21,37,185,27,187,0
0,21,22,35,45,42,179,124,16,14,15,30,31,6,50,53,52,70,36,82,89,3,52,100,33,14,44,12,39,56,97,203,40
0,15,24,77,38,10,158,4,35,12,12,0,28,28,36,27,50,65,21,2,8,21,79,83,349,11,26,19,44,132,30,54,37
0,46,4,51,14,37,132,90,28,51,27,26,34,30,25,59,17,59,56,28,24,22,23,153,112,14,41,58,112,174,65,88,57
0,15,60,8,40,6,17,60,54,1,5,21,32,36,45,56,52,3,48,58,3,37,17,184,14,51,3,32,90,108,141,196,5
0,35,1,3,49,1,188,186,2,59,31,3,57,2,3,42,43,68,32,89,15,81,33,378,362,15,38,37,0,170,110,157,7
0,66,1,42,19,13,118,164,50,22,18,51,43,82,18,23,4,75,44,12,21,19,38,269,330,43,56,27,75,53,70,107,48
0,89,35,116,7,9,86,55,31,40,33,2,45,2,20,21,29,24,13,67,61,25,56,230,279,14,26,35,34,53,10,104,58
0,24,86,102,56,26,22,127,48,60,40,35,18,6,6,40,52,29,29,62,10,51,68,129,20,17,1,34,44,196,17,82,4
0,49,87,93,38,37,124,73,1,46,39,14,55,96,30,42,29,76,51,3,83,53,56,171,328,39,8,5,56,188,72,189,43
0,21,34,33,11,21,143,1,56,7,6,44,49,42,9,55,23,75,31,18,87,29,82,119,188,3,33,23,109,174,106,169,27
0,87,28,86,52,7,65,51,31,19,34,1,15,66,42,51,13,42,69,36,86,76,5,410,212,46,13,30,36,37,83,12,50
0,76,18,107,17,22,171,198,2,46,29,0,49,116,54,18,7,25,77,54,23,20,82,96,388,23,17,29,105,64,1,91,30
0,10,88,18,53,9,40,177,26,47,9,3,27,41,43,27,18,41,5,47,23,85,6,83,314,24,0,60,40,6,31,54,44
0,64,18,40,49,29,81,122,29,15,31,47,46,1,52,35,16,55,74,2,22,47,11,117,198,52,1,28,19,31,3,84,46
0,63,81,106,28,0,37,127,44,11,37,22,34,51,15,3,18,28,70,80,19,42,58,236,45,3,16,28,25,1,53,107,13
0,19,0,76,26,48,199,139,33,53,22,12,34,74,17,42,44,31,54,54,64,37,82,226,133,49,20,13,20,190,67,197,15
0,35,5,41,52,28,177,108,54,59,36,23,30,72,58,12,3,76,59,18,48,60,4,155,78,0,10,23,5,135,115,207,21
0,32,15,89,37,6,134,81,48,29,16,29,55,62,47,11,21,76,55,58,77,43,54,258,295,31,9,31,63,132,66,92,32
0,20,16,60,22,12,185,88,27,21,15,50,20,36,53,15,11,71,35,27,65,25,90,38,316,19,30,15,47,95,118,25,25
0,87,14,38,53,8,167,147,11,51,31,13,42,27,42,2,5,26,66,69,85,22,86,195,357,10,3,35,96,122,90,166,43
0,67,64,5,19,17,165,20,30,6,12,56,56,107,33,58,22,84,47,65,58,39,57,163,389,57,27,37,69,81,104,53,49
0,87,19,97,43,18,164,185,26,49,44,51,37,95,12,18,43,20,1,80,5,73,84,84,323,5,14,25,28,189,143,108,34
