bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
0,35,10,70,5,22,177,40,57,38,42,38,20,19,60,19,18,86,24,34,68,87,12,366,269,18,18,48,22,117,57,78,59
0,84,57,100,2,4,19,28,54,17,15,60,26,95,60,56,36,42,77,41,41,73,47,45,271,42,22,25,83,15,136,174,7
0,28,0,58,15,10,148,154,11,12,33,57,28,43,59,25,15,86,10,68,71,76,78,361,63,46,50,33,40,36,60,133,55
0,8,78,58,29,27,154,156,59,15,18,4,38,88,16,21,38,25,76,63,72,21,36,50,70,29,9,54,55,13,100,78,57
0,73,40,78,42,45,11,158,30,26,34,5,42,68,18,57,9,24,73,56,63,55,87,230,20,27,57,8,104,14,114,10,6
0,64,65,72,16,4,79,2,25,19,17,33,24,102,41,22,21,49,72,52,2,8,61,327,380,30,21,60,116,149,70,158,30
0,14,40,7,38,12,197,115,25,0,20,43,7,96,2,52,58,72,30,67,10,74,14,314,53,25,27,24,16,110,119,94,49
0,37,49,52,25,24,110,14,2,2,34,50,14,11,54,13,27,88,78,29,30,18,49,299,370,14,32,9,120,13,90,92,60
0,8,46,67,53,0,86,53,45,33,35,9,23,42,39,23,52,15,18,16,31,15,32,226,201,37,54,12,9,112,117,30,43
0,32,12,89,25,1,43,26,35,36,35,31,6,34,54,26,45,63,35,46,14,61,38,373,149,29,20,39,55,150,102,173,44
0,73,26,6,29,15,164,19,15,40,16,5,36,41,54,46,23,44,43,22,17,45,41,94,386,47,31,6,44,151,69,64,36
0,68,29,102,53,15,180,129,24,55,11,60,41,7,25,42,42,26,59,37,78,65,10,142,409,40,14,43,74,9,102,134,50
0,37,51,8,12,59,182,80,58,53,17,40,25,53,54,24,44,52,64,78,42,85,66,335,240,11,1,32,53,157,14,178,32
