bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
0,55,36,10,4,12,96,34,10,4,26,1,21,73,10,13,19,8,33,16,30,33,30,12,77,24,6,19,63,163,9,95,31
0,1,4,69,22,5,61,36,9,10,30,27,1,42,7,17,9,17,5,13,8,11,46,193,103,10,20,20,24,392,32,49,8
0,2,1,17,26,2,18,67,13,18,16,8,32,63,5,1,18,9,13,21,4,33,17,72,74,25,14,10,3,542,1,24,36
0,46,24,3,25,8,21,26,13,17,15,10,11,5,4,18,14,15,36,7,21,17,47,104,47,23,14,2,12,529,28,28,1
0,20,5,47,22,1,27,49,1,14,0,24,22,57,8,0,17,12,6,34,13,24,6,176,195,6,16,6,53,587,35,54,28
0,6,4,55,10,8,43,26,3,9,23,26,1,47,10,7,1,2,34,36,35,38,9,55,65,4,7,14,56,97,56,57,12
0,21,1,54,28,12,26,87,5,5,29,4,2,50,9,1,14,38,8,6,39,39,4,83,12,18,24,7,52,493,70,69,1
0,44,22,12,30,17,43,96,1,5,24,8,29,42,1,10,17,22,4,11,19,6,21,61,41,13,14,7,29,311,42,88,9
0,34,15,31,9,10,3,79,17,19,4,5,6,3,7,10,9,33,33,28,35,29,2,140,130,16,14,15,53,468,6,39,18
0,11,21,12,15,16,61,20,13,7,14,4,26,41,7,17,6,26,4,14,0,18,1,70,185,14,22,7,8,41,44,65,14
0,25,9,19,22,15,31,35,19,6,17,21,1,69,0,14,4,23,34,36,9,9,16,141,94,10,13,2,0,360,64,59,22
0,51,25,61,29,1,2,92,15,9,24,3,18,76,8,1,17,31,31,3,25,11,50,21,195,2,8,15,47,432,48,25,26
0,5,12,18,21,16,14,25,5,15,11,5,0,46,6,17,8,36,14,3,1,35,24,121,38,14,2,15,59,596,27,58,34
0,18,31,32,9,14,28,59,14,2,0,30,9,36,3,18,15,3,39,25,17,32,13,189,126,8,25,14,9,197,15,65,12
0,60,8,24,1,4,12,33,8,16,22,34,21,12,7,7,2,14,31,11,38,13,17,170,22,1,0,19,9,472,62,51,11
0,6,15,42,21,1,57,82,18,19,3,13,25,49,7,0,17,31,0,20,31,11,33,88,163,3,8,6,66,428,13,44,1
0,32,40,16,7,1,24,7,7,12,9,16,26,70,3,6,1,35,17,36,26,18,28,0,175,22,3,18,32,387,14,24,28
