bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
0,41,31,53,25,1,1,61,19,8,30,19,19,54,10,6,7,21,16,23,18,26,13,60,124,5,9,3,12,404,52,18,14
0,14,26,44,20,20,86,65,16,13,1,10,34,18,1,15,17,11,8,4,29,37,9,158,155,16,1,8,65,88,16,61,3
0,23,25,11,17,3,35,80,0,1,28,2,7,15,10,1,13,27,12,14,32,2,41,183,5,15,24,16,48,336,24,21,38
0,29,6,58,3,14,42,20,17,17,5,2,21,62,2,2,16,3,30,24,1,14,39,104,188,19,8,3,21,149,42,41,15
0,12,16,39,5,14,95,72,2,10,25,10,11,79,10,18,7,0,30,15,23,29,14,143,125,7,6,11,3,233,66,74,30
0,55,13,19,5,1,51,29,1,14,8,4,5,35,10,16,2,27,18,34,4,34,43,50,52,23,21,6,28,515,30,17,9
0,35,38,80,4,16,8,69,9,0,13,15,6,30,7,5,5,7,30,23,4,17,23,138,82,3,0,9,35,4,19,16,3
0,39,30,65,5,0,76,33,12,13,14,1,35,45,3,10,1,10,28,8,9,38,12,82,52,18,3,9,31,109,16,20,21
0,10,38,50,9,20,96,42,6,12,10,4,11,17,1,12,2,14,33,29,30,20,29,161,155,19,0,18,64,127,34,73,30
0,35,26,62,22,14,94,92,15,12,29,34,4,55,5,12,1,18,22,18,39,9,31,30,199,20,2,6,3,491,58,50,32
0,47,19,8,3,0,53,11,16,10,13,15,13,67,1,14,3,21,24,27,9,6,5,101,148,7,14,10,9,592,20,15,35
0,47,16,29,26,1,91,57,16,9,2,7,25,7,7,12,17,40,22,13,38,9,34,105,152,6,16,15,13,524,11,28,28
0,60,40,68,23,3,84,36,2,2,3,34,33,0,7,17,6,5,16,19,17,21,22,102,135,23,3,10,0,154,57,97,33
0,35,12,2,16,17,14,61,1,17,4,8,14,13,2,5,0,24,29,26,10,32,0,94,73,6,2,4,68,1,37,62,7
0,15,17,23,29,1,63,92,5,13,22,23,21,80,7,7,2,32,9,37,29,4,0,18,165,6,4,20,18,546,36,12,1
0,44,25,7,29,13,86,52,19,4,21,16,25,79,1,14,10,33,20,19,8,36,8,8,70,16,25,2,48,478,43,23,38
0,36,11,63,19,8,14,25,1,10,28,10,18,3,10,19,18,31,6,26,9,37,39,32,125,9,24,15,1,109,17,4,0
0,5,14,49,0,0,79,10,19,20,29,23,21,70,4,20,9,12,7,4,20,34,6,71,151,1,24,6,58,355,9,15,6
0,6,27,58,13,6,70,69,7,12,5,32,4,37,4,13,13,13,2,17,19,9,39,69,137,3,10,20,46,4,13,24,12
0,42,24,15,10,16,40,8,19,10,30,34,16,43,4,1,13,2,16,2,35,12,9,51,76,8,25,12,11,544,26,48,21
0,17,3,60,25,15,42,19,12,8,24,26,6,70,0,9,15,13,4,6,22,27,17,27,132,6,21,19,49,154,67,98,12
0,45,4,10,4,2,0,27,19,3,5,35,2,33,0,0,19,29,18,10,16,29,11,138,129,0,20,18,0,589,50,47,9
0,49,10,22,17,5,30,10,9,2,21,35,32,1,10,4,10,7,34,33,6,30,9,6,200,24,19,12,21,464,34,66,35
0,33,21,16,29,10,75,65,13,12,30,25,8,58,4,11,5,7,7,13,11,4,37,36,185,18,6,6,29,112,68,53,21
0,39,12,11,20,19,81,55,18,4,1,19,23,28,8,12,17,21,12,6,15,29,48,181,30,22,8,12,47,241,19,97,30
0,38,25,35,9,20,23,76,11,3,21,22,3,4,8,5,11,7,18,14,0,29,6,115,87,21,17,3,61,207,16,56,20
0,8,0,71,21,10,8,90,15,14,13,11,33,61,0,5,8,10,17,13,34,16,33,107,69,9,24,3,36,449,54,74,0
0,45,36,8,16,19,69,11,14,18,29,9,26,71,8,7,19,22,2,20,11,33,30,69,156,25,6,17,5,221,3,42,22
0,58,36,60,7,20,8,15,12,20,19,34,5,74,0,7,8,5,19,14,10,13,31,76,96,13,0,9,16,545,32,56,18
0,10,38,44,16,16,97,33,6,5,16,14,9,11,8,15,20,9,1,10,39,25,22,143,45,23,25,0,68,7,66,2,31
0,32,38,11,27,7,86,12,13,15,19,18,26,23,5,14,8,2,35,0,14,16,45,20,174,19,2,13,25,141,2,79,36
0,0,16,19,14,5,91,7,12,18,28,17,31,63,2,17,2,3,2,40,32,14,8,25,138,22,12,19,0,259,42,68,39
0,4,9,19,0,18,1,84,4,20,27,35,2,68,0,11,1,3,9,25,37,2,44,50,130,7,7,15,54,433,51,57,20
0,9,2,27,16,17,57,15,4,7,2,9,17,63,1,0,6,16,4,36,28,9,4,199,61,24,20,4,44,480,66,97,13
0,7,4,39,9,9,68,62,1,10,4,17,7,56,0,19,1,16,24,8,18,19,50,70,155,12,13,16,70,290,58,74,6
0,21,11,32,22,5,90,64,18,1,12,21,2,47,5,13,5,8,34,13,8,9,29,18,184,16,25,7,39,81,51,7,21
0,57,40,63,4,17,6,42,16,15,30,24,21,79,9,1,16,16,30,10,19,22,2,189,53,21,12,2,60,341,50,95,26
0,22,31,20,21,11,62,57,5,13,20,26,27,45,6,16,1,11,37,25,11,24,1,112,138,18,11,15,15,355,31,28,25
0,30,0,48,6,18,35,40,4,11,11,12,25,63,10,20,14,38,14,18,23,26,50,169,138,13,1,6,2,89,38,47,19
0,12,7,73,15,4,11,9,1,11,29,31,34,75,7,14,11,13,25,29,19,5,30,199,64,4,5,10,62,274,46,58,40
0,7,9,48,13,18,70,75,4,2,14,34,3,52,8,9,12,11,17,29,16,22,31,25,12,24,18,5,47,461,19,23,38
0,47,17,14,20,13,62,9,11,2,27,23,30,52,2,15,16,37,37,2,23,9,23,115,140,5,12,10,51,208,26,90,3
0,40,25,39,3,17,52,1,10,8,18,21,7,31,2,1,20,0,30,37,22,31,31,10,169,10,6,19,56,588,6,63,28
0,46,30,9,0,9,23,61,17,14,21,34,23,51,4,9,4,35,7,25,40,31,10,21,81,18,19,0,58,226,51,95,15
0,32,22,44,13,16,82,6,19,8,12,12,10,25,2,13,13,35,31,33,8,25,29,43,131,17,8,13,58,277,57,26,12
0,44,31,67,20,18,72,58,6,20,6,32,23,25,8,10,13,9,12,35,35,27,5,151,39,0,9,5,39,90,67,27,10
0,16,18,45,13,5,73,32,11,16,15,8,13,77,1,0,9,22,6,8,30,32,37,162,67,14,20,13,69,131,24,59,24
0,41,19,38,28,13,77,12,10,3,9,22,16,56,5,16,12,38,1,13,36,11,3,27,77,4,18,6,15,208,10,38,3
0,18,32,35,29,5,82,79,18,18,13,13,16,74,4,15,6,13,35,14,36,10,12,126,62,23,11,9,60,545,50,99,40
0,30,22,45,18,10,43,25,10,13,28,33,4,34,8,15,17,18,1,31,13,17,3,134,179,3,22,12,16,425,32,99,19
0,12,9,51,30,20,49,59,1,13,7,26,10,24,2,16,16,18,32,6,9,9,22,63,175,19,16,20,66,266,21,89,33
0,40,1,61,20,2,73,40,18,19,24,31,23,37,2,5,8,19,0,21,16,40,37,185,174,20,6,10,55,527,15,2,38
0,14,0,59,9,6,41,66,20,18,10,10,18,52,1,4,5,23,0,28,34,27,22,124,184,8,2,3,35,81,39,74,11
0,53,5,30,13,6,36,97,18,5,8,3,28,51,1,0,15,36,28,20,30,37,26,5,165,2,19,11,5,392,67,54,32
0,25,15,30,19,7,86,96,0,7,16,35,20,8,3,6,8,8,3,24,37,25,19,122,50,18,7,3,67,523,5,58,31
0,6,6,21,20,5,63,2,7,3,16,4,12,5,0,8,8,23,26,29,13,8,19,131,100,23,7,12,16,329,42,79,2
0,41,37,18,21,14,90,82,10,9,24,32,34,23,7,10,19,4,25,26,8,30,15,127,31,15,23,17,23,274,18,7,3
0,18,27,74,0,5,67,43,20,8,16,28,16,33,10,14,11,1,14,29,0,36,15,7,172,12,14,17,1,238,22,64,11
0,56,26,52,8,10,97,30,7,18,18,22,20,16,10,15,8,8,36,40,32,29,32,139,127,18,4,4,22,6,43,73,19
0,19,20,45,14,16,44,31,9,6,0,29,20,1,10,1,10,8,32,24,12,40,7,93,99,1,14,9,66,414,51,45,1
0,9,37,9,23,6,19,15,20,2,14,2,10,28,9,2,3,34,3,16,9,27,40,199,87,13,18,11,23,585,25,20,11
0,47,8,72,18,20,62,21,11,16,7,0,1,75,10,2,19,35,28,1,21,0,4,68,109,11,16,12,70,437,10,91,18
0,12,34,61,14,20,38,97,0,14,29,22,8,44,7,6,15,36,27,1,2,30,24,53,11,25,19,8,28,430,64,18,38
0,16,15,9,3,1,14,11,4,2,27,25,24,58,0,13,11,15,18,3,10,2,42,200,175,24,13,11,12,561,29,84,37
0,17,31,58,22,13,25,17,20,1,14,23,34,37,2,6,16,37,31,39,23,26,35,12,47,8,5,20,34,24,66,8,21
0,6,5,11,5,3,49,0,13,1,7,34,25,20,10,13,18,15,4,40,37,21,39,21,14,1,23,11,50,324,42,21,11
0,30,31,57,3,0,71,98,10,0,10,0,11,23,7,16,6,7,38,18,23,16,15,144,58,4,20,15,58,248,43,87,37
0,29,2,2,13,6,85,22,3,5,26,19,1,4,8,13,15,25,0,30,40,16,9,156,178,15,4,8,57,159,51,44,31
0,50,11,47,14,7,18,2,12,8,17,20,20,65,6,8,19,6,0,11,37,29,28,112,179,25,25,17,21,446,29,45,34
0,7,2,41,14,16,39,45,20,8,25,26,10,47,4,12,8,33,26,32,32,24,32,188,195,5,7,19,0,377,65,48,16
0,24,13,30,12,4,53,85,17,5,6,7,11,45,10,7,0,4,6,18,27,1,12,109,100,18,12,10,39,391,57,22,31
0,48,0,58,22,18,34,97,9,8,25,29,5,74,3,16,12,19,17,16,35,14,50,40,64,3,3,7,37,263,8,27,11
0,21,25,57,27,13,8,33,18,4,13,35,4,68,5,10,11,37,35,38,23,9,34,144,91,5,6,10,9,571,30,33,24
0,38,22,51,15,14,84,9,11,6,30,23,27,76,2,13,10,30,5,29,30,9,48,4,53,20,1,9,17,402,3,99,19
0,23,10,42,3,11,53,98,19,5,19,29,19,40,10,19,19,18,4,6,25,19,27,154,109,0,7,19,48,27,13,7,0
0,22,31,12,7,8,73,44,8,1,30,2,25,32,3,18,3,37,39,15,24,25,26,127,102,15,3,13,19,282,51,80,3
0,54,39,45,30,10,22,7,3,11,5,16,7,21,9,11,19,16,14,39,23,14,34,22,14,20,22,19,0,581,17,19,5
0,27,2,32,21,0,35,89,11,5,23,2,6,68,0,3,14,18,15,32,32,9,2,33,27,11,24,11,42,353,26,65,13
